text,target
"[89  3  1  0  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0
  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  1  0  0  1  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  1  0  0  0  0  0  0
  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  1  0  0  0  0  1  0  0  0
  0  0  0  0  0]",3
"[180   2   1   0   5   0   3   0   0   2   2   1   0   0   0   0   2   0
   2   0   0   0   1   0   0   0   1   0   0   0   0   0   1   1   0   0
   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1
   0   0   1   1   0   0   0   0   1   0   2   0   0   0   0   3   0   0
   0   0   0   0   0   0   2   0   0   0   0   0   1   1   0   0   1   0
   1   0   0   0   0   0   0   0   1   0   1]",5
"[110   7   0   3   0   0   0   3   2   0   0   0   1   0   2   0   0   1
   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0   1   0   0
   0   1   0   1   0   0   0   0   0   1   1   0   0   0   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3
   1   0   1   0   0   0   0   0   0   0   0   2   0   0   1   0   0   1
   0   0   0   0   0   0   0   0   0   0   1]",3
"[252   4   1   0   1   0   2   3   1   1   0   0   0   1   0   1   1   0
   1   0   0   0   0   0   0   0   4   0   0   0   0   1   1   1   0   1
   0   0   0   0   2   0   1   0   0   0   0   1   0   2   1   2   0   0
   0   0   0   1   0   0   1   0   0   2   0   0   1   0   2   0   1   0
   0   0   0   0   0   0   0   0   0   0   1   2   0   1   0   0   0   0
   0   0   0   0   0   0   0   0   0   1   0]",1
"[187   6   2   0   5   1   3   0   3   2   2   0   0   1   4   0   1   1
   3   0   1   3   1   0   1   1   0   0   0   0   0   0   0   0   0   1
   1   1   0   0   1   0   1   0   0   0   0   0   1   1   0   0   0   0
   1   0   0   0   1   1   1   0   3   0   1   8   0   0   0   2   0   0
   0   2   0   0   1   0   2   1   0   0   0   0   0   0   0   2   0   0
   0   2   0   0   0   0   0   0   2   1   0]",1
"[44  1  0  2  0  2  0  1  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0
  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  0  0  0  0]",3
"[76  6  0  0  0  0  2  0  1  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0
  1  3  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1
  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0]",1
"[110  13   7   2   0   0   1   0   0   1   1   0   1   1   2   0   0   1
   1   0   0   0   1   0   0   0   0   0   0   0   1   0   0   0   0   1
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   1   0   0]",1
"[87  1  0  0  1  0  0  0  1  0  1  1  0  1  0  0  0  0  0  0  3  0  0  0
  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[79 14  0  1  0  0  0  3  0  1  0  3  0  0  0  0  2  1  1  0  0  0  0  1
  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  4  1  0  0  0
  0  0  0  0  2  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0
  0  0  0  0  0]",1
"[72  1  0  1  0  2  0  0  1  1  0  0  0  0  1  0  0  0  1  0  0  1  1  2
  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  2  0  0  0  1  0  0
  0  1  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
  0  0  0  1  1  0  0  0  0  0  0  0  2  0  1  0  0  1  0  0  0  0  0  1
  0  0  0  0  0]",3
